"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2022-10-11 a las 16:29:59 (tiempo del centro de Mexico)."
"Sismicidad del 1900-10-01 al 2022-10-11, mag. 7.0 a 9.9, todas las profundidades, en todo el pais."
"Total: 86 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
1901-12-08,20:17:00,7.0,26.0,-110.0,33.0,"83 km al OESTE de AHOME, SIN",1901-12-09,02:17:00,revisado
1902-01-16,17:19:00,7.0,17.62,-99.72,33.0,"21 km al OESTE de ZUMPANGO DEL RIO, GRO",1902-01-16,23:19:00,revisado
1902-04-18,20:23:00,7.5,14.9,-91.5,25.0,"72 km al ESTE de CACAHOATAN, CHIS",1902-04-19,02:23:00,revisado
1902-09-23,14:18:00,7.7,16.5,-92.5,25.0,"5 km al SUROESTE de TEOPISCA, CHIS",1902-09-23,20:18:00,revisado
1902-12-12,17:10:00,7.1,29.0,-114.0,33.0,"115 km al NORTE de GUERRERO NEGRO, BCS",1902-12-12,23:10:00,revisado
1903-01-13,19:47:36,7.6,15.0,-93.0,33.0,"50 km al SUR de MAPASTEPEC, CHIS",1903-01-14,01:47:36,revisado
1905-12-16,23:27:00,7.1,17.0,-113.0,33.0,"727 km al SUROESTE de CABO SAN LUCAS, BCS",1905-12-17,05:27:00,revisado
1906-04-10,15:18:00,7.1,20.0,-110.0,33.0,"320 km al SUR de CABO SAN LUCAS, BCS",1906-04-10,21:18:00,revisado
1907-04-15,00:08:06,7.6,16.7,-99.2,33.0,"23 km al SURESTE de SAN MARCOS, GRO",1907-04-15,06:08:06,revisado
1907-10-16,08:57:18,7.1,28.0,-112.5,10.0,"77 km al NOROESTE de SANTA ROSALIA, BCS",1907-10-16,14:57:18,revisado
1908-03-26,17:03:30,7.5,16.7,-99.2,33.0,"23 km al SURESTE de SAN MARCOS, GRO",1908-03-26,23:03:30,revisado
1908-03-26,21:45:30,7.0,17.0,-101.0,33.0,"46 km al SUROESTE de TECPAN, GRO",1908-03-27,03:45:30,revisado
1909-07-30,04:51:54,7.2,16.8,-99.9,33.0,"8 km al SUR de ACAPULCO, GRO",1909-07-30,10:51:54,revisado
1911-06-07,05:02:42,7.6,17.5,-102.5,33.0,"59 km al SUROESTE de CD LAZARO CARDENAS, MICH",1911-06-07,11:02:42,revisado
1911-12-16,13:14:18,7.5,16.9,-100.7,50.0,"36 km al SUR de TECPAN, GRO",1911-12-16,19:14:18,revisado
1912-12-09,02:32:24,7.0,15.5,-93.0,33.0,"13 km al NOROESTE de MAPASTEPEC, CHIS",1912-12-09,08:32:24,revisado
1914-03-29,18:41:18,7.2,17.0,-92.0,150.0,"14 km al NORESTE de OCOSINGO, CHIS",1914-03-30,00:41:18,revisado
1915-09-06,19:20:48,7.4,14.0,-89.0,80.0,"348 km al ESTE de CD HIDALGO, CHIS",1915-09-07,01:20:48,revisado
1915-11-20,18:13:22,7.0,32.0,-115.0,10.0,"33 km al SURESTE de GPE VICTORIA(KM.43), BC",1915-11-21,00:13:22,revisado
1916-06-02,07:59:24,7.0,17.5,-95.0,150.0,"42 km al SUR de SAYULA DE ALEMAN, VER",1916-06-02,13:59:24,revisado
1921-02-04,02:22:44,7.4,15.0,-91.0,120.0,"125 km al ESTE de CACAHOATAN, CHIS",1921-02-04,08:22:44,revisado
1925-11-16,05:54:54,7.0,18.0,-107.0,33.0,"291 km al SUROESTE de CIHUATLAN, JAL",1925-11-16,11:54:54,revisado
1925-12-10,08:14:42,7.0,15.5,-92.5,33.0,"31 km al NOROESTE de MOTOZINTLA, CHIS",1925-12-10,14:14:42,revisado
1928-03-21,22:17:30,7.5,15.67,-96.1,33.0,"12 km al SURESTE de CRUCECITA, OAX",1928-03-22,04:17:30,revisado
1928-06-16,21:19:28,7.6,16.33,-96.7,33.0,"11 km al OESTE de MIAHUATLAN, OAX",1928-06-17,03:19:28,revisado
1928-08-04,12:28:17,7.4,16.83,-97.61,33.0,"49 km al SUR de H TLAXIACO, OAX",1928-08-04,18:28:17,revisado
1928-10-08,21:01:08,7.5,16.3,-97.3,33.0,"35 km al NORESTE de RIO GRANDE, OAX",1928-10-09,03:01:08,revisado
1931-01-14,19:50:40,7.8,16.34,-96.87,40.0,"30 km al OESTE de MIAHUATLAN, OAX",1931-01-15,01:50:40,revisado
1932-06-03,04:36:52,8.2,19.57,-104.42,33.0,"4 km al SURESTE de CASIMIRO CASTILLO, JAL",1932-06-03,10:36:52,revisado
1932-06-18,04:12:10,7.8,19.5,-103.5,33.0,"14 km al SUROESTE de TUXPAN, JAL",1932-06-18,10:12:10,revisado
1934-11-29,20:05:16,7.0,19.0,-105.31,33.0,"83 km al SUROESTE de CIHUATLAN, JAL",1934-11-30,02:05:16,revisado
1934-12-31,12:45:45,7.1,32.0,-114.75,33.0,"46 km al SURESTE de GPE VICTORIA(KM.43), BC",1934-12-31,18:45:45,revisado
1935-12-14,16:05:17,7.3,14.75,-92.5,33.0,"31 km al SUROESTE de TAPACHULA, CHIS",1935-12-14,22:05:17,revisado
1937-07-25,21:47:13,7.3,18.45,-96.08,85.0,"24 km al NORTE de TRES VALLES, VER",1937-07-26,03:47:13,revisado
1937-12-23,07:17:58,7.4,17.1,-98.07,33.0,"46 km al SUROESTE de H TLAXIACO, OAX",1937-12-23,13:17:58,revisado
1940-05-18,22:36:41,7.1,32.7,-115.5,33.0,"5 km al NOROESTE de MEXICALI, BC",1940-05-19,04:36:41,revisado
1941-04-15,13:09:51,7.6,18.85,-102.94,33.0,"25 km al NORESTE de COALCOMAN, MICH",1941-04-15,19:09:51,revisado
1942-08-06,17:36:59,7.9,14.8,-91.3,50.0,"93 km al ESTE de CD HIDALGO, CHIS",1942-08-06,23:36:59,revisado
1943-02-22,03:20:45,7.4,17.6,-101.1,33.0,"20 km al NORESTE de PETATLAN, GRO",1943-02-22,09:20:45,revisado
1944-06-28,01:58:54,7.1,15.0,-92.5,33.0,"16 km al SUR de HUIXTLA, CHIS",1944-06-28,07:58:54,revisado
1948-01-06,11:25:58,7.0,17.0,-98.0,80.0,"45 km al SUROESTE de H TLAXIACO, OAX",1948-01-06,17:25:58,revisado
1950-09-29,00:32:20,7.0,19.0,-107.0,60.0,"257 km al SUROESTE de PUERTO VALLARTA, JAL",1950-09-29,06:32:20,revisado
1950-10-23,10:13:20,7.2,14.3,-91.8,33.0,"56 km al SURESTE de CD HIDALGO, CHIS",1950-10-23,16:13:20,revisado
1950-12-14,08:15:50,7.2,17.22,-98.12,33.0,"47 km al OESTE de H TLAXIACO, OAX",1950-12-14,14:15:50,revisado
1951-12-11,19:37:34,7.0,17.0,-94.5,100.0,"59 km al ESTE de MATIAS ROMERO, OAX",1951-12-12,01:37:34,revisado
